"country","years","rest_ha_yr","scenario"
"Guatemala",47,64.3138649616499,"R2"
"Guinea",47,216.46999955931,"R2"
"Guinea-Bissau",47,198.268431919686,"R2"
"Guyana",47,110.785522774983,"R2"
"Haiti",47,61.8080600859961,"R2"
"Honduras",47,350.515343826988,"R2"
"India",47,768.366932519547,"R2"
"Indonesia",47,7681.00737721571,"R2"
"Iran",47,10.050157004575,"R2"
"Ivory Coast",47,19.4913250967015,"R2"
"Jamaica",47,26.5935183026774,"R2"
"Japan",47,1.02988157812408,"R2"
"Kenya",47,138.9190464423,"R2"
"Liberia",47,21.2937965548287,"R2"
"Madagascar",47,430.732895045015,"R2"
"Malaysia",47,820.602751255921,"R2"
"Martinique",47,0.159142437912131,"R2"
"Mauritius",47,1.11227481018144,"R2"
"Mayotte",47,0.143545409629021,"R2"
"Mexico",47,5224.36968836125,"R2"
"Micronesia",47,1.05528792847501,"R2"
"Mozambique",47,970.689582002612,"R2"
"Myanmar",47,2032.47807274645,"R2"
"New Caledonia",47,30.3619487173036,"R2"
"New Zealand",47,61.460117191985,"R2"
"Nicaragua",47,259.661114070145,"R2"
"Nigeria",47,468.924323372306,"R2"
"Oman",47,0.315450248921588,"R2"
"Pakistan",47,246.770103426435,"R2"
"Palau",47,0.920585645679048,"R2"
"Panama",47,146.277827030137,"R2"
"Papua New Guinea",47,499.150265738136,"R2"
"Phillippines",47,639.092937038378,"R2"
"Puerto Rico",47,15.0986521288009,"R2"
"Qatar",47,0.935504857438701,"R2"
"Saint-Martin",47,0.101144802722164,"R2"
"Saint Kitts and Nevis",47,0.0504276727103534,"R2"
"Saint Lucia",47,0.0320607240906073,"R2"
"Saint Vincent",47,0.0209810424475442,"R2"
"Samoa",47,0.0229883314536567,"R2"
"Sao Tome and Principe",47,3.54939831663466e-05,"R2"
"Saudi Arabia",47,26.3895798890979,"R2"
"Senegal",47,297.768878595355,"R2"
"Seychelles",47,0.198726212898596,"R2"
"Sierra Leone",47,55.6783173524088,"R2"
"Singapore",47,0.732083476457396,"R2"
"Solomon Islands",47,68.7437082094802,"R2"
"Somalia",47,5.05608021712387,"R2"
"South Africa",47,6.01768758074379,"R2"
"Sri Lanka",47,127.522773018176,"R2"
"Sudan",47,0.487956874483974,"R2"
"Suriname",47,364.541827948949,"R2"
"Taiwan",47,1.12944532087003,"R2"
"Tanzania",47,152.24137817698,"R2"
"Thailand",47,654.327618046258,"R2"
"Tonga",47,1.10184247186638,"R2"
"Trinidad and Tobago",47,17.6424322384538,"R2"
"Turks and Caicos Islands",47,42.003453144229,"R2"
"United Arab Emirates",47,24.9797925888943,"R2"
"United States",47,905.202443669627,"R2"
"Vanuatu",47,0.731439339332003,"R2"
"Venezuela",47,485.673163733758,"R2"
"Vietnam",47,710.555334965688,"R2"
"Virgin Islands",47,0.140767470100931,"R2"
"Yemen",47,0.898153490199778,"R2"
"American Samoa",47,0.000519913059664544,"PR2"
"Angola",47,63.9431692138994,"PR2"
"Anguilla",47,0.0426131023872485,"PR2"
"Antigua and Barbuda",47,0.782420412263261,"PR2"
"Aruba",47,0.690566509181767,"PR2"
"Australia",47,1491.2896985432,"PR2"
"Bahamas",47,402.314688163298,"PR2"
"Bahrain",47,0.148464412583693,"PR2"
"Bangladesh",47,627.153161267052,"PR2"
"Barbados",47,0.00114842464635875,"PR2"
"Belize",47,258.20247135185,"PR2"
"Benin",47,1.11907781654811,"PR2"
"Bonaire",47,1.51733468458214,"PR2"
"Brazil",47,2156.43861436392,"PR2"
"British Virgin Islands",47,0.0189273534925472,"PR2"
"Brunei",47,15.562181231962,"PR2"
"Cambodia",47,205.198143344322,"PR2"
"Cameroon",47,125.439654146073,"PR2"
"Cayman Islands",47,6.50506117177482,"PR2"
"China",47,54.7290608998765,"PR2"
"Colombia",47,867.014739098812,"PR2"
"Comoros",47,0.00992986441263003,"PR2"
"Costa Rica",47,58.8570483607965,"PR2"
"Cuba",47,762.983638417678,"PR2"
"Curaco",47,0.591542182573878,"PR2"
"Democratic Republic of the Congo",47,41.8963806377921,"PR2"
"Djibouti",47,0.454856699124551,"PR2"
"Dominica",47,0.00199038224322736,"PR2"
"Dominican Republic",47,36.5026836220293,"PR2"
"East Timor",47,1.48958510948276,"PR2"
"Ecuador",47,405.445677493711,"PR2"
"Egypt",47,0.356926408865751,"PR2"
"El Salvador",47,78.275978095646,"PR2"
"Equatorial Guinea",47,22.397780098499,"PR2"
"Eritrea",47,10.1153534539036,"PR2"
"Fiji",47,28.0289401094502,"PR2"
"French Guiana",47,191.360150070328,"PR2"
"Gabon",47,144.009941298742,"PR2"
"Gambia",47,58.2555513361184,"PR2"
"Ghana",47,86.8908596621337,"PR2"
"Grenada",47,0.0962975036954473,"PR2"
"Guadeloupe",47,0.714944280858007,"PR2"
"Guatemala",47,64.3138649616499,"PR2"
"Guinea",47,216.46999955931,"PR2"
"Guinea-Bissau",47,198.268431919686,"PR2"
"Guyana",47,110.785522774983,"PR2"
"Haiti",47,61.8080600859961,"PR2"
"Honduras",47,350.515343826988,"PR2"
"India",47,768.366932519547,"PR2"
"Indonesia",47,7681.00737721571,"PR2"
"Iran",47,10.050157004575,"PR2"
"Ivory Coast",47,19.4913250967015,"PR2"
"Jamaica",47,26.5935183026774,"PR2"
"Japan",47,1.02988157812408,"PR2"
"Kenya",47,138.9190464423,"PR2"
"Liberia",47,21.2937965548287,"PR2"
"Madagascar",47,430.732895045015,"PR2"
"Malaysia",47,820.602751255921,"PR2"
"Martinique",47,0.159142437912131,"PR2"
"Mauritius",47,1.11227481018144,"PR2"
"Mayotte",47,0.143545409629021,"PR2"
"Mexico",47,5224.36968836125,"PR2"
"Micronesia",47,1.05528792847501,"PR2"
"Mozambique",47,970.689582002612,"PR2"
"Myanmar",47,2032.47807274645,"PR2"
"New Caledonia",47,30.3619487173036,"PR2"
"New Zealand",47,61.460117191985,"PR2"
"Nicaragua",47,259.661114070145,"PR2"
"Nigeria",47,468.924323372306,"PR2"
"Oman",47,0.315450248921588,"PR2"
"Pakistan",47,246.770103426435,"PR2"
"Palau",47,0.920585645679048,"PR2"
"Panama",47,146.277827030137,"PR2"
"Papua New Guinea",47,499.150265738136,"PR2"
"Phillippines",47,639.092937038378,"PR2"
"Puerto Rico",47,15.0986521288009,"PR2"
